title,artist,genre,tempo,mood,style
Prayed For Me,The Weeknd,pop,medium,happy,acoustic
Str8 Shot,XXXTENTACION,hip-hop,slow,calm,normal
I Am the Grinch (feat. Fletcher Jones),"Tyler, The Creator",hip-hop,medium,happy,normal
Live For,The Weeknd,r&b,medium,calm,funky
Revenge,XXXTENTACION,r&b,medium,sad,normal
Talkin crazy,rio da yung og,hip-hop,medium,energetic,normal
Rio Free,rio da yung og,hip-hop,fast,happy,normal
Save Your Tears,The Weeknd,pop,fast,sad,normal
Blinding Lights,The Weeknd,pop,fast,happy,vintage
Someone Like You,Adele,pop,slow,sad,acoustic
Uptown Funk,Bruno Mars,funk,fast,energetic,funky
drivers license,Olivia Rodrigo,pop,slow,sad,normal
Shake It Off,Taylor Swift,pop,fast,happy,normal
Circles,Post Malone,hip-hop,medium,calm,acoustic
Levitating,Dua Lipa,pop,fast,energetic,funky
bad guy,Billie Eilish,pop,medium,sad,vintage
Sunflower,Post Malone,hip-hop,medium,happy,normal
I Bet on Losing Dogs ,Mitski,soul,slow,sad,normal
